player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,3p/100?,dob,bt_fetch_year
Jadyn Atchison,UT Arlington,WAC,33,55.1,71.7,26.7,41.3,42.45,2.8,11.9,21.2,29.1,22,41,0.537,91,228,0.399,22,72,0.306,2.7,4,13.7,Jr,6-1,13,0.156334,78.2447,4.7,2026,67370,"Cedar Hill, TX",,0.57143757,45,86,46,142,0.5233,0.3239,0,0,,,88.3932,88.5244,2.27064,172.797,-2.05535,-3.52133,1.46598,-2.25294,22.3,-3.20911,0.95617,0.5455,2.4545,3,1.8182,1.6364,0.5758,8.1818,Combo G,5.33878,,2026
Jada Bediako,Marquette,BE,25,19.6,97.6,18.1,55.8,57.16,13.3,14.4,7.9,27.1,10,17,0.588,29,52,0.558,0,0,0,4.8,1.3,32.7,Jr,6-3,14,0.755405,100.226,5.8,2026,67371,"Brampton, Canada",,0.4545025,23,39,6,13,0.5897,0.4615,0,0,,,93.2806,86.3173,1.00254,44.3717,2.77302,0.647596,2.12542,-0.567136,9.4692,-1.5597,0.992562,0.9615,1.2692,2.2308,0.3846,0.1923,0.5,2.6154,PF/C,0,,2026
Andjela Matic,Loyola Marymount,WCC,30,84.3,101.7,16.9,46.4,50.03,1.4,11.1,16.8,19.1,47,61,0.77,37,119,0.311,62,161,0.385,0.1,1.6,21.8,Sr,5-8,28,2.39224,96.652,1.5,2026,67374,"Ub, Serbia",,1.61018287,11,32,26,87,0.3438,0.2989,0,0,,,96.6766,97.3476,2.43943,165.764,0.987833,2.06056,-1.07273,1.34407,34.0387,2.15149,-0.807411,0.4194,2.7742,3.1935,3.0645,1.0323,0.0323,10.4516,Combo G,9.13613,,2026
Faith Burch,Youngstown St.,Horz,11,9.8,86.7,17.4,37.5,45.13,9.1,26.3,5.9,21,12,21,0.571,9,24,0.375,0,0,0,3.2,1.8,87.5,Jr,6-1,22,0.155164,79.9735,4.6,2026,67378,"Warren, OH",,0.45456529,7,13,2,11,0.5385,0.1818,0,0,,,81.241,82.4296,1.47149,32.3723,-4.76741,-5.58236,0.814955,-2.65826,12.5917,-2.79429,0.13603,1.1667,3.5,4.6667,0.4167,0.3333,0.3333,3.4167,Wing G,0,,2026
Laura Bello,UT Arlington,WAC,30,39,83,14.6,41.5,44.14,12.1,22.7,4.2,24.4,18,32,0.563,44,106,0.415,0,0,0,6.8,0.9,30.2,Sr,6-3,4,-0.0198258,75.8679,5.5,2026,67380,"Allen, TX",,0.29409689,25,64,19,42,0.3906,0.4524,0,0,,,88.1358,88.0556,1.79182,123.304,-1.31978,-3.2004,1.88062,-2.44396,17.3433,-2.76804,0.324083,1.8333,3.6333,5.4667,0.3333,0.3,1.1333,3.5333,PF/C,0,,2026
Taylor Wilkins,Southeastern Louisiana,Slnd,26,27.4,70.6,18.7,34,35.23,4.3,8.8,7.1,19.3,4,5,0.8,25,52,0.481,6,48,0.125,0.3,1.1,5,Sr,5-10,2,-0.315513,68.4996,4.1,2026,67385,"New Orleans, LA",,0.47363932,11,16,14,36,0.6875,0.3889,0,0,,,112.075,114.238,0.162377,45.1837,-10.6369,-4.70916,-5.9277,-11.7254,11.9889,-6.14309,-5.58231,0.4815,1.037,1.5185,0.3333,0.2593,0.037,2.8148,Wing G,9.13118,,2026
Clemisha Prackett,Indiana St.,MVC,30,46.5,105.4,25.8,51.1,55.65,15.4,25.2,0.8,16.9,83,125,0.664,121,237,0.511,0,0,0,3.8,1.8,52.7,Jr,6-1,14,2.25207,109.981,7.3,2026,67386,"West Memphis, AR",,0.06001612,94,170,27,67,0.5529,0.403,0,0,,,102.085,102.382,1.05434,147.25,-5.40669,-0.2989,-5.10779,-0.60871,19.1677,2.44646,-3.05517,3.2258,4.7097,7.9355,0.0968,0.7097,0.7742,10.8387,PF/C,0,,2026
Paris Kirk,Eastern Washington,BSky,26,10.3,95.4,14.1,62.5,53.62,11.7,13.7,7.6,23.8,4,16,0.25,11,19,0.579,1,1,1,1.5,1.7,80,Sr,6-2,12,0.172688,86.2256,5.9,2026,67387,"Kelowna, Canada",,0.53844496,8,13,3,6,0.6154,0.5,0,0,,,95.3352,96.8609,0.367427,26.2673,-1.23543,-0.472092,-0.763333,-1.21969,5.4393,-0.987295,-0.232394,0.7143,0.8214,1.5357,0.25,0.1429,0.1071,1.2143,Wing G,0.422289,,2026
Mila Reynolds,UT Arlington,WAC,32,49.4,81.8,19.8,44.4,48.53,1,9.2,12.3,26.3,41,58,0.707,60,134,0.448,18,62,0.29,0.3,1.2,29.6,Jr,6-3,15,0.414476,82.0198,3,2026,67392,"South Bend, IN",88.2,0.53966885,30,49,30,85,0.6122,0.3529,0,0,,,96.8404,96.7829,1.52578,107.763,-5.19105,-2.70587,-2.48518,-4.13419,20.6094,-2.34453,-1.78966,0.1875,1.75,1.9375,1.0625,0.4688,0.0625,6.7188,Wing G,5.12774,,2026
Eleonora Villa,Washington St.,WCC,34,86.8,98.5,25.6,50.8,53.55,1.1,6.1,24.4,18.9,78,111,0.703,175,337,0.519,44,137,0.321,0.7,1.5,23.4,Jr,5-8,2,3.88226,108.442,1.5,2026,67395,"Lissone, Italy",,1.20998231,89,157,86,180,0.5669,0.4778,0,0,,,108.802,103.716,1.74426,177.223,-0.510054,2.80761,-3.31766,1.24312,34.8294,3.66954,-2.42642,0.3529,1.9412,2.2941,3.5588,0.9412,0.2353,16.4706,Scoring PG,6.64832,,2026
