year,pid,player,team,rim_made,rim_miss,rim_assisted,mid_made,mid_miss,mid_assisted,three_made,three_miss,three_assisted,dunks_made,dunks_miss,dunks_assisted
2021,67375,Sharna Ayres,LSU,0,1,0,2,3,0,0,5,0,0,0,0
2021,67379,Lucie Castagne,Bryant,2,5,0,1,6,0,1,5,1,0,0,0
2021,67382,Stephanie Mayerhofer,Bryant,2,4,1,4,4,1,14,28,11,0,0,0
2021,67384,Caitlyn Wilson,Cincinnati,5,7,1,4,3,4,51,107,51,0,0,0
2021,67390,Olivia Moran,Northern Arizona,21,16,10,9,14,2,9,14,9,0,0,0
2021,67394,Samantha Bailey,Marist,7,5,7,0,0,0,4,4,3,0,0,0
2021,67397,Ashley Owusu,Maryland,105,63,39,83,115,20,11,27,9,0,0,0
2021,67401,Ash'a Thompson,Old Dominion,2,4,0,3,10,0,5,19,4,0,0,0
2021,67402,Mele Finau,Northern Colorado,11,22,2,3,15,0,17,32,13,0,0,0
2021,67407,Sigrun Olafsdottir,Chattanooga,29,26,17,8,8,1,13,45,13,0,0,0
2021,67422,Taylor Jameson,George Mason,17,25,1,7,23,2,18,31,10,0,0,0
2021,67423,Shamarre Hale,Wright St.,48,26,25,11,15,10,0,0,0,0,0,0
2021,67427,Sydney Coombs,UMass Lowell,5,8,4,6,15,3,0,0,0,0,0,0
2021,67430,Jaini Edmonds,UMass Lowell,5,10,2,11,11,4,4,13,4,0,0,0
2021,67432,Kathryn Neff,Cal St. Fullerton,14,8,14,1,13,1,18,49,18,0,0,0
2021,67437,Bri Johns,Southeast Missouri St.,0,0,0,0,2,0,0,5,0,0,0,0
2021,67438,Ali Brigham,George Washington,100,69,66,18,38,17,1,9,1,0,0,0
2021,67444,Zoe Cooper,New Orleans,16,21,9,6,22,6,0,0,0,1,0,0
2021,67445,KK Rodriguez,Tulsa,3,5,0,0,5,0,1,4,1,0,0,0
2021,67447,Brynna Maxwell,Utah,13,13,6,20,37,2,43,85,33,0,0,0
