year,pid,player,team,rim_made,rim_miss,rim_assisted,mid_made,mid_miss,mid_assisted,three_made,three_miss,three_assisted,dunks_made,dunks_miss,dunks_assisted
2026,67370,Jadyn Atchison,UT Arlington,45,41,7,46,96,17,22,50,17,0,0,0
2026,67371,Jada Bediako,Marquette,23,16,18,6,7,6,0,0,0,0,0,0
2026,67374,Andjela Matic,Loyola Marymount,11,21,4,26,61,5,62,99,56,0,0,0
2026,67378,Faith Burch,Youngstown St.,7,6,7,2,9,1,0,0,0,0,0,0
2026,67380,Laura Bello,UT Arlington,25,39,20,19,23,17,0,0,0,0,0,0
2026,67385,Taylor Wilkins,Southeastern Louisiana,11,5,4,14,22,10,6,42,5,0,0,0
2026,67386,Clemisha Prackett,Indiana St.,94,76,66,27,40,16,0,0,0,0,0,0
2026,67387,Paris Kirk,Eastern Washington,8,5,3,3,3,2,1,0,1,0,0,0
2026,67392,Mila Reynolds,UT Arlington,30,19,19,30,55,22,18,44,18,0,0,0
2026,67395,Eleonora Villa,Washington St.,89,68,35,86,94,24,44,93,36,0,0,0
2026,67398,Amira Brown,San Jose St.,40,57,14,14,29,4,23,52,23,0,0,0
2026,67399,Ella Fajardo,Iona,22,29,9,32,50,9,31,79,27,0,0,0
2026,67400,Candace Kpetikou,Miami FL,16,22,9,4,4,1,0,0,0,0,0,0
2026,67406,Breezie Williams,Wright St.,48,37,16,63,124,10,39,64,23,0,0,0
2026,67410,Cordasia Harris,South Alabama,155,108,94,7,22,5,5,14,3,1,0,1
2026,67418,Marina Artero,Louisiana,13,20,7,12,29,10,0,2,0,0,0,0
2026,67420,Kendall Carruthers,Toledo,58,48,18,30,43,4,34,84,27,0,0,0
2026,67424,Jaileyah Cotton,Jackson St.,23,41,6,31,74,6,30,62,24,0,0,0
2026,67425,Nalyce Dudley,Sacred Heart,98,83,63,14,36,9,27,61,26,0,0,0
2026,67426,Divine Dibula,Monmouth,147,90,82,20,31,13,0,3,0,0,0,0
2026,67428,Rachel Kaus,Cornell,73,91,49,33,42,29,12,21,11,0,0,0
2026,67430,Jaini Edmonds,UMass Lowell,35,34,7,52,72,2,42,120,25,0,0,0
2026,67433,Alexis Davis,Monmouth,50,61,26,6,19,3,0,2,0,0,0,0
2026,67439,Karsyn Norman,Ball St.,37,41,7,28,55,3,42,93,28,0,0,0
2026,67442,Molly Heard,Lipscomb,99,83,15,10,18,1,34,83,32,0,0,0
2026,67443,Anastasiia Semenova,Boston University,70,44,54,20,22,16,11,36,10,0,0,0
2026,67446,Catherine Alben,Georgia Tech,65,71,21,17,37,13,24,82,20,0,0,0
2026,67448,Destiny Leo,UNLV,4,2,1,7,3,3,35,64,32,0,0,0
2026,67450,Faith Pappas,Sacred Heart,3,7,2,5,10,1,10,11,10,0,0,0
2026,67458,Laila Walker,Old Dominion,19,20,10,4,8,2,0,0,0,0,0,0
2026,67459,Meadow Roland,UNLV,83,62,34,70,93,26,24,69,23,0,0,0
2026,67461,Macy Spencer,High Point,44,30,11,49,77,17,93,156,90,0,0,0
2026,67462,Jaelyn Talley,North Texas,12,9,5,3,10,2,0,3,0,0,0,0
2026,67463,Amarachi Kimpson,Miami FL,49,35,7,45,67,5,46,90,38,0,0,0
