player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,3p/100?,dob,trank_year
Jadyn Atchison,UT Arlington,WAC,33,55.1,71.7,26.7,41.3,42.45,2.8,11.9,21.2,29.1,22,41,0.537,91,228,0.399,22,72,0.306,2.7,4,13.7,Jr,6-1,13,0.156579,78.2476,4.7,2026,67370,"Cedar Hill, TX",,0.57143757,45,86,46,142,0.5233,0.3239,0,0,,,88.3932,88.5217,2.27082,172.797,-2.05201,-3.51984,1.46783,-2.25094,22.3,-3.20815,0.957217,0.5455,2.4545,3,1.8182,1.6364,0.5758,8.1818,Combo G,5.33878,,2026
Jada Bediako,Marquette,BE,25,19.6,97.6,18.1,55.8,57.16,13.3,14.4,7.9,27.1,10,17,0.588,29,52,0.558,0,0,0,4.8,1.3,32.7,Jr,6-3,14,0.755413,100.226,5.8,2026,67371,"Brampton, Canada",,0.4545025,23,39,6,13,0.5897,0.4615,0,0,,,93.2806,86.3151,1.00259,44.3717,2.77145,0.646487,2.12496,-0.567494,9.4692,-1.56013,0.992635,0.9615,1.2692,2.2308,0.3846,0.1923,0.5,2.6154,PF/C,0,,2026
Andjela Matic,Loyola Marymount,WCC,30,84.3,101.7,16.9,46.4,50.03,1.4,11.1,16.8,19.1,47,61,0.77,37,119,0.311,62,161,0.385,0.1,1.6,21.8,Sr,5-8,28,2.39336,96.6611,1.5,2026,67374,"Ub, Serbia",,1.61018287,11,32,26,87,0.3438,0.2989,0,0,,,96.6766,97.3382,2.44048,165.764,0.992118,2.063,-1.07088,1.34769,34.0387,2.15347,-0.805782,0.4194,2.7742,3.1935,3.0645,1.0323,0.0323,10.4516,Combo G,9.13613,,2026
Faith Burch,Youngstown St.,Horz,11,9.8,86.7,17.4,37.5,45.13,9.1,26.3,5.9,21,12,21,0.571,9,24,0.375,0,0,0,3.2,1.8,87.5,Jr,6-1,22,0.155482,79.9809,4.6,2026,67378,"Warren, OH",,0.45456529,7,13,2,11,0.5385,0.1818,0,0,,,81.241,82.4195,1.47189,32.3723,-4.76394,-5.58061,0.816665,-2.65392,12.5917,-2.79225,0.138333,1.1667,3.5,4.6667,0.4167,0.3333,0.3333,3.4167,Wing G,0,,2026
Laura Bello,UT Arlington,WAC,30,39,83,14.6,41.5,44.14,12.1,22.7,4.2,24.4,18,32,0.563,44,106,0.415,0,0,0,6.8,0.9,30.2,Sr,6-3,4,-0.0195021,75.873,5.5,2026,67380,"Allen, TX",,0.29409689,25,64,19,42,0.3906,0.4524,0,0,,,88.1358,88.0499,1.79214,123.304,-1.31661,-3.19911,1.8825,-2.44085,17.3433,-2.76657,0.325726,1.8333,3.6333,5.4667,0.3333,0.3,1.1333,3.5333,PF/C,0,,2026
Taylor Wilkins,Southeastern Louisiana,Slnd,26,27.4,70.6,18.7,34,35.23,4.3,8.8,7.1,19.3,4,5,0.8,25,52,0.481,6,48,0.125,0.3,1.1,5,Sr,5-10,2,-0.3159,68.4898,4.1,2026,67385,"New Orleans, LA",,0.47363932,11,16,14,36,0.6875,0.3889,0,0,,,112.075,114.257,0.161589,45.1837,-10.6413,-4.71113,-5.93016,-11.7301,11.9889,-6.1452,-5.58485,0.4815,1.037,1.5185,0.3333,0.2593,0.037,2.8148,Wing G,9.13118,,2026
Clemisha Prackett,Indiana St.,MVC,30,46.5,105.4,25.8,51.1,55.65,15.4,25.2,0.8,16.9,83,125,0.664,121,237,0.511,0,0,0,3.8,1.8,52.7,Jr,6-1,14,2.25239,109.985,7.3,2026,67386,"West Memphis, AR",,0.06001612,94,170,27,67,0.5529,0.403,0,0,,,102.085,102.377,1.05464,147.25,-5.40513,-0.298063,-5.10706,-0.607588,19.1677,2.44704,-3.05462,3.2258,4.7097,7.9355,0.0968,0.7097,0.7742,10.8387,PF/C,0,,2026
Paris Kirk,Eastern Washington,BSky,26,10.3,95.4,14.1,62.5,53.62,11.7,13.7,7.6,23.8,4,16,0.25,11,19,0.579,1,1,1,1.5,1.7,80,Sr,6-2,12,0.172817,86.2328,5.9,2026,67387,"Kelowna, Canada",,0.53844496,8,13,3,6,0.6154,0.5,0,0,,,95.3352,96.8521,0.36757,26.2673,-1.23146,-0.470245,-0.761219,-1.21595,5.4393,-0.985483,-0.230466,0.7143,0.8214,1.5357,0.25,0.1429,0.1071,1.2143,Wing G,0.422289,,2026
Mila Reynolds,UT Arlington,WAC,32,49.4,81.8,19.8,44.4,48.53,1,9.2,12.3,26.3,41,58,0.707,60,134,0.448,18,62,0.29,0.3,1.2,29.6,Jr,6-3,15,0.414694,82.0225,3,2026,67392,"South Bend, IN",88.2,0.53966885,30,49,30,85,0.6122,0.3529,0,0,,,96.8404,96.7802,1.52594,107.763,-5.1878,-2.70449,-2.48331,-4.13266,20.6094,-2.34378,-1.78889,0.1875,1.75,1.9375,1.0625,0.4688,0.0625,6.7188,Wing G,5.12774,,2026
Eleonora Villa,Washington St.,WCC,34,86.8,98.5,25.6,50.8,53.55,1.1,6.1,24.4,18.9,78,111,0.703,175,337,0.519,44,137,0.321,0.7,1.5,23.4,Jr,5-8,2,3.88282,108.446,1.5,2026,67395,"Lissone, Italy",,1.20998231,89,157,86,180,0.5669,0.4778,0,0,,,108.802,103.713,1.74454,177.223,-0.507231,2.80913,-3.31636,1.24474,34.8294,3.67046,-2.42572,0.3529,1.9412,2.2941,3.5588,0.9412,0.2353,16.4706,Scoring PG,6.64832,,2026
