1,Dallas Wings,Paige Bueckers,,UConn,1,36,,33.3,19.2,3.9,5.4,,4.4,0.147
2,Seattle Storm,Dominique Malonga,France,,1,42,,14.3,7.7,4.6,0.9,,1.9,0.126
3,Washington Mystics,Sonia Citron,,Notre Dame,1,44,,32.2,14.9,4,2.4,,4.2,0.119
4,Washington Mystics,Kiki Iriafen,,USC,1,44,,26.9,13.3,8.5,1.6,,3,0.102
5,Golden State Valkyries,Justė Jocytė,Lithuania,,0,,,,,,,,,
6,Washington Mystics,Georgia Amoore,,Kentucky,0,,,,,,,,,
7,Connecticut Sun,Aneesah Morrow,,LSU,1,41,,18.9,7.7,6.9,0.5,,0.7,0.034
8,Connecticut Sun,Saniya Rivers,,NC State,1,42,,26.1,8.8,2.8,2.7,,0.7,0.026
9,Los Angeles Sparks,Sarah Ashlee Barker,,Alabama,1,34,,14.1,3.1,1.9,0.9,,-0.8,-0.064
10,Chicago Sky,Ajša Sivka,Slovenia,,0,,,,,,,,,
11,Chicago Sky,Hailey Van Lith,,TCU,1,29,,12.4,3.5,1.1,1.6,,-0.9,-0.102
12,Dallas Wings,Aziaha James,,NC State,1,38,,17.7,7.5,2.9,1.6,,0.1,0.003
Round 2,,,,,,,,Per Game,,,,,Advanced,
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
13,Las Vegas Aces,Aaliyah Nye,,Alabama,1,44,,15.3,3.8,1.5,0.5,,0,0.002
14,Dallas Wings,Madison Scott,,Ole Miss,1,9,,5.2,1.6,0.1,0.2,,0.1,0.086
15,Minnesota Lynx,Anastasiia Kosu,Russia,,1,21,,3.8,1.7,0.7,0.2,,0.1,0.068
16,Chicago Sky,Maddy Westbeld,,Notre Dame,1,26,,13.6,4.1,2.4,0.9,,0.2,0.028
17,Golden State Valkyries,Shyanne Sellers,,Maryland,0,,,,,,,,,
18,Atlanta Dream,Te-Hina PaoPao,,South Carolina,1,43,,16.7,5.8,1.6,2.4,,2.1,0.115
19,Indiana Fever,Makayla Timpson,,Florida State,1,31,,7.1,2.6,1.8,0,,1,0.175
20,Indiana Fever,Bree Hall,,South Carolina,1,4,,4.3,0.8,0.8,0,,-0.2,-0.421
21,Los Angeles Sparks,Sania Feagin,,South Carolina,1,16,,4.8,1.3,0.7,0.3,,-0.3,-0.179
22,Chicago Sky,Aicha Coulibaly,,Texas A&M,0,,,,,,,,,
23,Washington Mystics,Lucy Olsen,,Iowa,1,41,,12.4,4,1.2,1.2,,0.6,0.046
24,Minnesota Lynx,Dalayah Daniels,,Washington,0,,,,,,,,,
25,Connecticut Sun,Rayah Marshall,,USC,1,15,,6,1.7,1.7,0.3,,-0.2,-0.073
Round 3,,,,,,,,Per Game,,,,,Advanced,
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
26,Seattle Storm,Serena Sundell,,Kansas State,1,3,,7.3,0,0.3,0,,-0.1,-0.211
27,Dallas Wings,JJ Quinerly,,West Virginia,1,34,,15.9,6.5,1.9,2.3,,0.4,0.027
28,Los Angeles Sparks,Liatu King,,Notre Dame,1,14,,9.7,2.7,2.1,0.3,,0,0.005
29,Seattle Storm,Madison Conner,,TCU,0,,,,,,,,,
30,Golden State Valkyries,Kaitlyn Chen,,UConn,1,24,,10.3,2,0.9,1,,-0.1,-0.015
31,Dallas Wings,Aaronette Vonleh,,Baylor,0,,,,,,,,,
32,Washington Mystics,Zaay Green,,Alabama,0,,,,,,,,,
33,Indiana Fever,Yvonne Ejim,,Gonzaga,0,,,,,,,,,
34,Seattle Storm,Jordan Hobbs,,Michigan,0,,,,,,,,,
35,Las Vegas Aces,Harmoni Turner,,Harvard University,0,,,,,,,,,
36,Atlanta Dream,Taylor Thierry,,Ohio State,1,17,,2.1,0.4,0.4,0.1,,0,-0.045
37,Minnesota Lynx,Aubrey Griffin,,UConn,0,,,,,,,,,
38,New York Liberty,Adja Kane,France,,0,,,,,,,,,
1,Indiana Fever,Caitlin Clark,,Iowa,2,53,,34.3,18.5,5.5,8.5,,3.5,0.077
2,Los Angeles Sparks,Cameron Brink,,Stanford,2,34,,16.9,6.1,4.8,1,,0.5,0.037
3,Chicago Sky,Kamilla Cardoso,,South Carolina,2,72,,27.5,11.9,8.3,2.1,,5.4,0.108
4,Los Angeles Sparks,Rickea Jackson,,Tennessee,2,78,,29.8,14,3.6,1.6,,1.4,0.024
5,Dallas Wings,Jacy Sheldon,,Ohio State,2,70,,23.4,6.3,2,2.2,,0.1,0.003
6,Washington Mystics,Aaliyah Edwards,,UConn,2,70,,18.2,6.5,4.6,1,,2,0.063
7,Chicago Sky,Angel Reese,,LSU,2,64,,32,14.1,12.9,2.7,,4.6,0.09
8,Minnesota Lynx,Alissa Pili,,Utah,2,41,,5.8,2.3,1.1,0.2,,0.2,0.031
9,Dallas Wings,Carla Leite,France,,1,37,,17.2,7.2,1.3,2,,0.8,0.051
10,Connecticut Sun,Leïla Lacan,France,,1,25,,26.6,10.4,2.4,3.7,,1.2,0.07
11,New York Liberty,Marquesha Davis,,Ole Miss,2,31,,4.3,1.1,0.5,0.2,,0,-0.01
12,Atlanta Dream,Nyadiew Puoch,Australia,,0,,,,,,,,,
Round 2,,,,,,,,Per Game,,,,,Advanced,
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
13,Chicago Sky,Brynna Maxwell,,Gonzaga,0,,,,,,,,,
14,Seattle Storm,Nika Mühl,,UConn,1,16,,3.6,0.1,0.6,0.4,,-0.2,-0.162
15,Indiana Fever,Celeste Taylor,,Ohio State,1,22,,14.9,2.6,1.3,1.3,,-0.4,-0.049
16,Las Vegas Aces,Dyaisha Fair,,Syracuse,1,1,,4,0,0,2,,0,-0.333
17,New York Liberty,Esmery Martinez,,Arizona,0,,,,,,,,,
18,Las Vegas Aces,Kate Martin,,Iowa,2,76,,14.2,4.6,2.2,0.9,,0.7,0.026
19,Connecticut Sun,Taiyanna Jackson,,Kansas,0,,,,,,,,,
20,Atlanta Dream,Isobel Borlase,Australia,,0,,,,,,,,,
21,Washington Mystics,Kaylynne Truong,,Gonzaga,0,,,,,,,,,
22,Connecticut Sun,Helena Pueyo,,Arizona,0,,,,,,,,,
23,New York Liberty,Jessika Carter,,Mississippi State,1,2,,2,0,0,0,,-0.1,-0.578
24,Las Vegas Aces,Elizabeth Kitley,,Virginia Tech,1,12,,8.2,1.3,1.4,0.1,,-0.2,-0.091
Round 3,,,,,,,,Per Game,,,,,Advanced,
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
