season,player_name,team,pid,listed_height_raw,listed_height,listed_height_inches,predicted_profile_height_inches,predicted_profile_height,height_delta_inches,height_profile_label,predicted_big_profile_height_inches,predicted_big_profile_height,big_height_delta_inches,big_height_profile_label
2023,Jada Thornton,Stonehill,67372,5-9,"5'9""",69.0,69.73,"5'10""",0.73,plays_at_height,69.73,"5'10""",0.73,plays_at_height
2023,Sharna Ayres,Northwestern St.,67375,5-10,"5'10""",70.0,69.88,"5'10""",-0.12,plays_at_height,69.88,"5'10""",-0.12,plays_at_height
2023,Kayla Clark,Bethune Cookman,67376,6-3,"6'3""",75.0,73.49,"6'1""",-1.51,plays_shorter,73.49,"6'1""",-1.51,plays_shorter
2023,Faith Burch,Cleveland St.,67378,6-1,"6'1""",73.0,72.8,"6'1""",-0.2,plays_at_height,72.8,"6'1""",-0.2,plays_at_height
2023,Laura Bello,Idaho St.,67380,6-3,"6'3""",75.0,74.62,"6'3""",-0.38,plays_at_height,74.62,"6'3""",-0.38,plays_at_height
2023,Caitlyn Wilson,Cincinnati,67384,5-10,"5'10""",70.0,69.44,"5'9""",-0.56,plays_at_height,69.44,"5'9""",-0.56,plays_at_height
2023,Paris Kirk,Robert Morris,67387,6-2,"6'2""",74.0,72.68,"6'1""",-1.32,plays_shorter,72.68,"6'1""",-1.32,plays_shorter
2023,Kennedy Taylor,Missouri St.,67388,6-2,"6'2""",74.0,74.31,"6'2""",0.31,plays_at_height,74.31,"6'2""",0.31,plays_at_height
2023,Olivia Moran,Northern Arizona,67390,5-11,"5'11""",71.0,70.84,"5'11""",-0.16,plays_at_height,70.84,"5'11""",-0.16,plays_at_height
2023,Esther Little,Gonzaga,67393,6-2,"6'2""",74.0,72.72,"6'1""",-1.28,plays_shorter,72.72,"6'1""",-1.28,plays_shorter
2023,Samantha Bailey,Marist,67394,6-1,"6'1""",73.0,70.31,"5'10""",-2.69,plays_shorter,70.31,"5'10""",-2.69,plays_shorter
2023,Ashley Owusu,Virginia Tech,67397,6-0,"6'0""",72.0,70.06,"5'10""",-1.94,plays_shorter,70.06,"5'10""",-1.94,plays_shorter
2023,Mele Finau,UC Riverside,67402,5-11,"5'11""",71.0,71.14,"5'11""",0.14,plays_at_height,71.14,"5'11""",0.14,plays_at_height
