season,player_name,team,position,class,draft_pick,age,listed_height,statistical_height,height_delta_inches,height_delta_percentile,feel_plus,feel_plus_percentile,rimfluence,rimfluence_off,rimfluence_def,rimfluence_percentile,gp,mpg,min_pct
2026,Jadyn Atchison,UT Arlington,G,Jr,,20.5,"6'1""","5'11""",-1.73,19.01,70.42,15.86,N/A,N/A,N/A,,33.0,22.3,55.1
2026,Jada Bediako,Marquette,F,Jr,,20.5,"6'3""","6'2""",-1.4,23.91,107.31,62.71,N/A,N/A,N/A,,25.0,9.5,19.6
2026,Andjela Matic,Loyola Marymount,G,Sr,,21.5,"5'8""","5'10""",1.61,79.34,107.62,63.23,N/A,N/A,N/A,,30.0,34.0,84.3
2026,Faith Burch,Youngstown St.,F,Jr,,20.5,"6'1""","6'2""",0.77,63.84,141.52,91.54,N/A,N/A,N/A,,11.0,12.6,10.4
2026,Laura Bello,UT Arlington,F,Sr,,21.5,"6'3""","6'2""",-0.63,37.04,89.09,38.32,N/A,N/A,N/A,,30.0,17.3,39.0
2026,Taylor Wilkins,Southeastern Louisiana,F,Sr,,21.5,"5'10""","5'10""",-0.36,41.71,43.03,1.39,N/A,N/A,N/A,,26.0,12.0,27.4
2026,Clemisha Prackett,Indiana St.,F,Jr,,20.5,"6'1""","6'2""",1.08,69.4,123.62,80.82,N/A,N/A,N/A,,30.0,19.2,46.5
2026,Paris Kirk,Eastern Washington,F,Sr,,21.5,"6'2""",N/A,,,141.36,91.49,N/A,N/A,N/A,,26.0,5.4,10.3
2026,Mila Reynolds,UT Arlington,F,Jr,,20.5,"6'3""","5'10""",-5.15,0.61,57.32,6.03,N/A,N/A,N/A,,32.0,20.6,49.4
2026,Eleonora Villa,Washington St.,G,Jr,,20.5,"5'8""","5'10""",1.79,82.23,96.92,48.49,N/A,N/A,N/A,,34.0,34.8,86.8
2026,Amira Brown,San Jose St.,F,Sr,,21.5,"5'10""","5'11""",1.47,76.49,105.24,60.09,N/A,N/A,N/A,,25.0,25.5,52.0
2026,Ella Fajardo,Iona,G,Sr,,21.5,"5'5""",N/A,,,106.31,61.49,N/A,N/A,N/A,,31.0,28.7,72.1
2026,Candace Kpetikou,Miami FL,F,Fr,,18.5,"6'3""",N/A,,,104.47,58.78,N/A,N/A,N/A,,31.0,7.5,17.4
2026,Breezie Williams,Wright St.,G,Jr,,20.5,"5'5""",N/A,,,120.8,78.07,N/A,N/A,N/A,,30.0,30.3,77.0
2026,Cordasia Harris,South Alabama,F,Sr,,21.5,"6'1""","6'4""",3.06,96.18,112.56,69.91,N/A,N/A,N/A,,35.0,26.2,63.5
2026,Marina Artero,Louisiana,F,Jr,,20.5,"5'11""","5'11""",-0.2,44.31,105.62,60.53,N/A,N/A,N/A,,29.0,20.6,52.0
2026,Kendall Carruthers,Toledo,G,Jr,,20.5,"5'7""",N/A,,,94.27,45.66,N/A,N/A,N/A,,30.0,29.9,72.0
2026,Jaileyah Cotton,Jackson St.,G,Sr,,21.5,"5'6""",N/A,,,104.9,59.59,N/A,N/A,N/A,,28.0,31.3,74.1
2026,Nalyce Dudley,Sacred Heart,F,Jr,,20.5,"5'11""","5'11""",-0.04,47.57,88.03,36.62,N/A,N/A,N/A,,30.0,32.7,81.9
