season,player,team,source_conference,class,A10,ACC,AE,AMER,ASUN,B10,B12,BE,BSKY,BSTH,BW,CAA,CUSA,HORZ,IND,Ivy,MAAC,MAC,MEAC,Mountain West,MVC,NEC,OVC,P12,PAT,SB,SC,SEC,SLND,SUM,SWAC,WAC,WCC
2026,Aimee Flippen,Abilene Christian,WAC,Sophomore,C-,D+,C-,C,B+,D+,D+,C,B-,B+,B,D+,C+,C+,B-,B,B+,B-,C,C+,C+,B-,C-,C-,C-,C+,D+,D+,C-,B,B+,D+,B-
2026,Emma Daugherty,Abilene Christian,WAC,Freshman,C,D+,C-,C-,B,D+,D+,C,B-,B+,B,D+,C,C+,C+,B-,B+,B-,C-,C+,C+,C+,D+,D+,C-,C+,D+,D+,C-,B,B+,D+,B-
2026,Emma Troxell,Abilene Christian,WAC,Junior,B-,C-,A,B-,B+,C,C,C+,C+,A+,A,A-,B,B+,B,B,A,B+,A,B,B,A+,A-,C-,A,B+,A-,C-,A,B+,A,B,B
2026,Erin Woodson,Abilene Christian,WAC,Junior,B,C+,A,B+,A,C+,C+,B,B-,A+,A+,A,B+,A,B+,B+,A,A,A+,B+,B+,A+,A,C+,A,A-,A,C+,A,A-,A+,B+,B+
2026,Jazmyn Stone,Abilene Christian,WAC,Junior,D,D-,D,D-,C-,F,D-,D-,D-,B-,C+,D,D,C,D+,C-,D+,C-,D+,D+,D+,C,D,F,D,D+,D,F,D+,D+,D+,D,D+
2026,Meredith Mayes,Abilene Christian,WAC,Junior,A,B+,A+,A+,A+,B+,B+,A-,A,A+,A+,A+,A+,A+,A,A,A+,A+,A+,A+,A,A+,A+,B+,A+,A+,A+,B,A+,A+,A,A+,A
2026,Payton Hull,Abilene Christian,WAC,Junior,B+,B-,A+,A-,A,B-,B-,B,B,A+,A+,A+,A-,A+,B+,A-,A+,A,A+,A-,B+,A+,A+,C+,A+,A,A+,C+,A+,A-,A+,A-,A-
2026,Riley Grohman,Abilene Christian,WAC,Freshman,C+,D,B,C,B,D,D+,C-,D+,A,A-,C,C+,B-,C+,B-,A-,B,B,C+,C+,A-,B,D,B,B-,B-,D,B,B-,B,C+,B-
2026,Alexis Cortez,Air Force,MWC,Junior,C-,D-,C+,D+,C+,D,D,D+,D,B+,B,C,C-,C+,C+,C+,B,C+,B-,C,C,B,C+,D-,C+,C,C+,D-,B-,C+,B-,C-,C
2026,Bhret Clay,Air Force,MWC,Freshman,C,D,B-,C-,B-,D,D,D+,D,B+,B+,C+,C,C+,C+,C+,B,B-,B,C,C,B+,B-,D-,B-,C+,B-,D-,B,C+,B,C,C
